identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
74.142.203.230,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:42:09 UTC,2024-05-21 15:42:09 UTC
38.77.128.194,URL,,false,true,,,,critical,,2024-05-23 17:38:48 UTC,2024-05-23 17:38:48 UTC
71.179.14.38,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
sdpgw01.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:16:37 UTC,2024-05-23 17:16:37 UTC
https://irmai.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
216.196.176.28,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:37:34 UTC,2024-05-21 15:37:34 UTC
http://umdintl.sharepoint.us,URL,,false,true,,,,critical,,2024-05-21 11:09:09 UTC,2024-05-21 11:09:09 UTC
*.dese.com,WILDCARD,,false,true,,,,critical,,2024-05-21 13:06:56 UTC,2024-05-21 13:06:56 UTC
216.196.176.23,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:35:40 UTC,2024-05-21 15:35:40 UTC
https://blackduck-com.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
http://www.nucleussec.com,URL,,false,true,,,,critical,,2024-05-21 10:18:46 UTC,2024-05-21 10:18:46 UTC
https://passchange.cacicorenet.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
50.186.231.244,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:40:19 UTC,2024-05-21 15:40:19 UTC
https://wikiplus.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
https://pricingrequest.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
76.191.116.183,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
https://cptestnext.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
216.196.176.20,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:34:25 UTC,2024-05-21 15:34:25 UTC
https://access-dr-auth.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://confluence.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://sonarqube.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://keycloak.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
www.ariacoustics.com,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
gw02.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
173.61.66.2,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
https://comprizon.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
http://hxfiveservice.com,URL,,false,true,,,,critical,,2024-05-21 11:09:09 UTC,2024-05-21 11:09:09 UTC
https://extpass.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
gateway.elevi.net,OTHER,,false,true,,,,critical,,2024-05-21 13:23:23 UTC,2024-05-21 13:23:23 UTC
https://vault.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
*.hxfivelaunch.com,WILDCARD,,false,true,,,,critical,,2024-05-21 13:05:56 UTC,2024-05-21 13:05:56 UTC
https://artifactory.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://mimir.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
74.142.203.229,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:41:51 UTC,2024-05-21 15:41:51 UTC
milrecruiter.com,URL,,false,true,,,,critical,,2024-05-23 17:39:52 UTC,2024-05-23 17:39:52 UTC
access.saphotonics.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
public.esailcloud.com,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
http://cybermyte.io,URL,,false,true,,,,critical,,2024-05-23 17:38:00 UTC,2024-05-23 17:38:00 UTC
74.142.203.237,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:45:00 UTC,2024-05-21 15:45:00 UTC
38.77.128.196,OTHER,,false,true,,,,critical,,2024-05-23 17:45:34 UTC,2024-05-23 17:45:34 UTC
https://www.idtec.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
74.142.203.233,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:43:36 UTC,2024-05-21 15:43:36 UTC
imap.cybermyte.io,OTHER,,false,true,,,,critical,,2024-05-23 17:46:27 UTC,2024-05-23 17:46:27 UTC
https://moveit.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
216.196.176.27,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:37:15 UTC,2024-05-21 15:37:15 UTC
216.196.176.21,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:34:48 UTC,2024-05-21 15:34:48 UTC
74.142.203.225,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:40:37 UTC,2024-05-21 15:40:37 UTC
https://mydesktop.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://delivery.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
24.214.204.54,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
dev-gw01.cymy.io,URL,,false,true,,,,critical,,2024-05-23 17:41:14 UTC,2024-05-23 17:41:14 UTC
38.77.128.190,OTHER,,false,true,,,,critical,,2024-05-23 17:45:21 UTC,2024-05-23 17:45:21 UTC
https://da1dc2.centurum.com,URL,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
https://vdi.lgsinnovations.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
https://cmr.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://test.smds.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
216.196.176.29,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:37:56 UTC,2024-05-21 15:37:56 UTC
mail.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
dev-edge01.cymy.io,URL,,false,true,,,,critical,,2024-05-23 17:41:14 UTC,2024-05-23 17:41:14 UTC
https://ext-ebsodsoauth.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://jenkins.nm.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
216.196.176.22,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:35:11 UTC,2024-05-21 15:35:11 UTC
tenant-svc-fw-01.orl01.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
https://acquisitions.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://corianservicedesk.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://controlleddelivery.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://apps.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://draco.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://tokenchange.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
https://www.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
devvpn.centurum.com,OTHER,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
https://mybd.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
38.77.128.123,OTHER,,false,true,,,,critical,,2024-05-23 17:45:09 UTC,2024-05-23 17:45:09 UTC
74.142.203.232,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:43:14 UTC,2024-05-21 15:43:14 UTC
tip.centurum.com,OTHER,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
https://quarantine.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://sccmextmp01a.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
74.142.203.228,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:41:34 UTC,2024-05-21 15:41:34 UTC
http://www.elevi.net,URL,,false,true,,,,critical,,2024-05-21 11:10:01 UTC,2024-05-21 11:10:01 UTC
https://lepus.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://wacweb.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
admin-edge01.orl01.cymycloud.io,URL,,false,true,,,,critical,,2024-05-23 17:38:32 UTC,2024-05-23 17:38:32 UTC
https://registry.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://cast.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
50.186.231.243,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:40:01 UTC,2024-05-21 15:40:01 UTC
dev-sdp01.cymy.io,URL,,false,true,,,,critical,,2024-05-23 17:41:14 UTC,2024-05-23 17:41:14 UTC
https://jira.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
mailserver1a.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:59 UTC,2024-05-29 16:47:59 UTC
63.40.45.80,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
https://access-auth.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
50.186.231.242,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:39:40 UTC,2024-05-21 15:39:40 UTC
sdpcon01.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
74.142.203.236,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:44:43 UTC,2024-05-21 15:44:43 UTC
https://test.nucleussec.com,URL,,false,true,,,,critical,,2024-05-21 11:07:19 UTC,2024-05-21 11:07:19 UTC
https://plantuml.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
tenant-mail01.orl01.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
38.77.128.47,IP_ADDRESS,,false,true,,,,critical,,2024-05-23 17:40:23 UTC,2024-05-23 17:40:23 UTC
38.77.128.254,OTHER,,false,true,,,,critical,,2024-05-23 17:45:48 UTC,2024-05-23 17:45:48 UTC
http://hxfive.com,URL,,false,true,,,,critical,,2024-05-21 11:09:09 UTC,2024-05-21 11:09:09 UTC
http://test.nucleussec.com,URL,,false,true,,,,critical,,2024-05-21 11:09:09 UTC,2024-05-21 11:09:09 UTC
https://kurt-prod.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
47.206.114.79,URL,,false,true,,,,critical,,2024-05-21 10:42:48 UTC,2024-05-21 10:42:48 UTC
cm-gw01.cybermyte.io,URL,,false,true,,,,critical,,2024-05-23 17:38:00 UTC,2024-05-23 17:38:00 UTC
connect-dr.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
dns2.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
74.142.203.227,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:41:16 UTC,2024-05-21 15:41:16 UTC
mail01.orl01.cymysecure.com,URL,,false,true,,,,critical,,2024-05-23 17:40:08 UTC,2024-05-23 17:40:08 UTC
http://vpn.elevi.net,URL,,false,true,,,,critical,,2024-05-21 11:10:01 UTC,2024-05-21 11:10:01 UTC
https://castportal.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://rts.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://support.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
38.142.101.155,IP_ADDRESS,,false,true,,,,critical,,2024-05-23 17:14:36 UTC,2024-05-23 17:14:36 UTC
mailserver3b.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:59 UTC,2024-05-29 16:47:59 UTC
38.77.128.195,URL,,false,true,,,,critical,,2024-05-23 17:40:38 UTC,2024-05-23 17:40:38 UTC
mailserver3a.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:59 UTC,2024-05-29 16:47:59 UTC
47.206.114.75,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
74.142.203.235,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:44:23 UTC,2024-05-21 15:44:23 UTC
92.225.175.134,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
64.183.4.242,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
216.196.176.26,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:36:51 UTC,2024-05-21 15:36:51 UTC
dns4.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
https://www.saphotonics.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
https://spa.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://tokenchange.cacicorenet.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
syslog.centurum.com,OTHER,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
ns2.ext.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
38.77.128.255,OTHER,,false,true,,,,critical,,2024-05-23 17:46:27 UTC,2024-05-23 17:46:27 UTC
216.196.176.19,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:34:00 UTC,2024-05-21 15:34:00 UTC
74.142.203.238,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:45:20 UTC,2024-05-21 15:45:20 UTC
74.85.94.220,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
admin-sdpcon01.orl01.cymycloud.io,URL,,false,true,,,,critical,,2024-05-23 17:38:32 UTC,2024-05-23 17:38:32 UTC
https://bglogin.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
gw.esailcloud.com,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
https://vpc.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
https://jira.cirras.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
74.85.94.212,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
216.196.176.24,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:36:04 UTC,2024-05-21 15:36:04 UTC
https://hudocfo.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://cis-epm.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://passchange.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
74.142.203.231,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:42:31 UTC,2024-05-21 15:42:31 UTC
https://www.hqig4portal2.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
98.188.213.202,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
74.85.94.213,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
https://www.askit.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
connect.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
vpn-west.lgsinnovations.com,OTHER,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://webmail.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
76.191.116.185,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
71.179.14.35,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
216.196.176.30,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:38:17 UTC,2024-05-21 15:38:17 UTC
74.85.94.211,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
https://cic.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://codeguardian-veeam.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://support.centurum.com,URL,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
74.142.203.226,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:40:54 UTC,2024-05-21 15:40:54 UTC
gw-alex.esailcloud.com,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
76.191.116.189,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
gw-cpep.esailcloud.com,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
38.142.101.157,IP_ADDRESS,,false,true,,,,critical,,2024-05-23 17:15:48 UTC,2024-05-23 17:15:48 UTC
autodiscover.cybermyte.io,OTHER,,false,true,,,,critical,,2024-05-23 17:46:27 UTC,2024-05-23 17:46:27 UTC
https://cfa1.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:10 UTC,2024-05-29 16:46:10 UTC
https://cis-epohdlr-02a.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
76.191.116.187,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
https://talxsso.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
mailserver2a.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:59 UTC,2024-05-29 16:47:59 UTC
vpn-east.lgsinnovations.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
https://sslvpn.centurum.com,OTHER,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
mailserver2b.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:59 UTC,2024-05-29 16:47:59 UTC
74.85.94.215,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
learning.raicescyberacademy.org,URL,,false,true,,,,critical,,2024-05-23 17:39:18 UTC,2024-05-23 17:39:18 UTC
mailserver1b.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:59 UTC,2024-05-29 16:47:59 UTC
https://www.corianconfluence.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:15 UTC,2024-05-29 16:46:15 UTC
https://mockup.smds.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
71.179.14.34,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 10:31:41 UTC,2024-05-21 10:31:41 UTC
https://harbor.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
40.129.202.162,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
216.196.176.25,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:36:26 UTC,2024-05-21 15:36:26 UTC
https://mysites.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://www.nucleussec.com,URL,,false,true,,,,critical,,2024-05-21 10:17:39 UTC,2024-05-21 10:17:39 UTC
challenge.cymy.io,URL,,false,true,,,,critical,,2024-05-23 17:41:14 UTC,2024-05-23 17:41:14 UTC
dns1.caci.com,OTHER,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
ems.centurum.com,OTHER,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
74.142.203.234,IP_ADDRESS,,false,true,,,,critical,,2024-05-21 15:44:05 UTC,2024-05-21 15:44:05 UTC
https://csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://spssite.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
www.raicescon.org,URL,,false,true,,,,critical,,2024-05-23 17:39:35 UTC,2024-05-23 17:39:35 UTC
https://lcv.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
tenant-svc-fw-02.orl01.cymycloud.com,OTHER,,false,true,,,,critical,,2024-05-23 17:42:28 UTC,2024-05-23 17:42:28 UTC
https://ganymede.cacicorenet.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
gw-sea.esailcloud.com,URL,,false,true,,,,critical,,2024-05-21 11:09:10 UTC,2024-05-21 11:09:10 UTC
https://gitlab.csde.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://home.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
tenantgw01.orl01.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
	38.142.101.156,IP_ADDRESS,,false,true,,,,critical,,2024-05-23 17:15:21 UTC,2024-05-23 17:15:21 UTC
mail.cybermyte.io,OTHER,,false,true,,,,critical,,2024-05-23 17:46:27 UTC,2024-05-23 17:46:27 UTC
keeper.centurum.com,OTHER,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
173.12.29.41,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
https://libra.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://login.cacicorenet.com,URL,,false,true,,,,critical,,2024-05-29 16:47:23 UTC,2024-05-29 16:47:23 UTC
216.54.101.6,IP_ADDRESS,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
https://cp.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://ext-ebsods.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://mydesktopdr.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
gw01.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
ns1.ext.cymycloud.com,URL,,false,true,,,,critical,,2024-05-23 17:37:27 UTC,2024-05-23 17:37:27 UTC
https://csgsurveys.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://login.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
https://subktemp.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:12 UTC,2024-05-29 16:46:12 UTC
https://cis-tpm.caci.com,URL,,false,true,,,,critical,,2024-05-29 16:46:11 UTC,2024-05-29 16:46:11 UTC
http://da1dc2.centurum.com,URL,,false,true,,,,critical,,2024-06-05 16:23:14 UTC,2024-06-05 16:23:14 UTC
electroimpact.com,URL,,false,true,,,,critical,,2024-05-21 11:09:09 UTC,2024-05-21 11:09:09 UTC
http://hxfive.sharepoint.com,URL,,false,true,,,,critical,,2024-05-21 11:09:09 UTC,2024-05-21 11:09:09 UTC
